,scores,isrc,artist,title,seed_playlist_uri
74,0.9086391943644523,USUM71510147,Ne-Yo,"Friend Like Me - From ""Aladdin""",malaysia_top_test
75,0.9075381076755162,USWD11677856,Auli'i Cravalho,How far I'll Go - リプライズ,malaysia_top_test
76,0.9067257087619327,USWD11677864,Auli'i Cravalho,Know Who You Are,malaysia_top_test
77,0.9064093823455526,USWD10732103,Sharpay Evans,You Are The Music In Me,malaysia_top_test
78,0.9035685350779521,USWD11054838,Donna Murphy,"Mother Knows Best - From ""Tangled""/Soundtrack Version",malaysia_top_test
79,0.9016200493681089,USWD10834894,High School Musical Cast,Scream,malaysia_top_test
80,0.9005945945072308,USWD10732973,Amy Adams,Happy Working Song - From ''Disney's Enchanted'',malaysia_top_test
81,0.8976194491063495,USWD10834839,High School Musical Cast,I Want It All,malaysia_top_test
82,0.8973774866103345,USWD10834895,High School Musical Cast,Senior Year Spring Musical,malaysia_top_test
83,0.8973357991078145,USWD10210259,Mark Keali'i Ho'omalu,He Mele No Lilo - 『リロ・アンド・スティッチ』より,malaysia_top_test
84,0.8936889601979909,USWD10936990,Leon-Wooley,When We're Human (feat. Terence Blanchard),malaysia_top_test
85,0.8899891587960242,USWD11366377,Jonathan Groff,"Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version",malaysia_top_test
86,0.8886711775093908,USWD11366363,Cast - Frozen,Frozen Heart,malaysia_top_test
87,0.8883920605205187,USWD11677874,Lin-Manuel Miranda,We Know The Way - Finale,malaysia_top_test
88,0.8867408120212986,USWD11778852,Emma Watson,Something There,malaysia_top_test
89,0.8860565100665042,USWD11054901,Mandy Moore,"Healing Incantation - From ""Tangled""/Soundtrack Version",malaysia_top_test
90,0.884711351705589,USWD11778854,Emma Thompson,Beauty and the Beast,malaysia_top_test
91,0.8836733056472279,USWD10321764,Louis Prima,I Wan'na Be Like You (The Monkey Song) - 『ジャングル・ブック』より,malaysia_top_test
92,0.8823688147822096,USWD11778859,Ariana Grande,Beauty and the Beast,malaysia_top_test
93,0.8814779142366336,USWD11569823,Helena Bonham Carter,Bibbidi-Bobbidi-Boo (The Magic Song),malaysia_top_test
94,0.8778634784098288,USUM71510152,Ariana Grande,"Zero To Hero - From ""Hercules""",malaysia_top_test
95,0.8761334009786688,USWD10834898,High School Musical Cast,Just Getting Started,malaysia_top_test
96,0.8758613566277456,USWD10110114,Sarah McLachlan,When She Loved Me - 『トイ・ストーリー2』より,malaysia_top_test
97,0.8747444453257015,USWD10220402,Pat Carroll,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",malaysia_top_test
98,0.872849058443184,USWD10322458,Phil Collins,On My Way,malaysia_top_test
99,0.8728313196329157,NZSO01100005,Olivia Foa'i,Logo Te Pate,malaysia_top_test
