,isrc,track_artist,track_title,country_name,region,saves,saves_perc,skips,skips_perc,streams,users,recommendation_scores,current_playlist_position,major_label,label_studio,content_provider_name
4289,USWD10527109,Jodi Benson,Part Of Your World - From ''Disney's The Little Mermaid'',,Norway,37312.0,0.024069028156221618,663248.0,0.42784452150937163,1550208,73680,0.7619406397,,UMG,EMI TV,umgglobal
4290,USWD10423197,Bruce Adler,Arabian Nights,,Norway,95502.0,0.061657711959279646,1095024.0,0.7069660779931125,1548906,69276,0.7595154994,3.0,UMG,Walt Disney Records,UMI
4296,USWD10423140,Phil Collins,Two Worlds,,Norway,65880.0,0.042588072236817605,1149168.0,0.7428787157899092,1546912,87648,0.7470122249,34.0,UMG,Walt Disney Records,umgglobal
4297,USHR10924540,Miley Cyrus,When I Look At You,,Norway,56460.0,0.03649951191761428,887930.0,0.5740172089445138,1546870,20265,0.7465806026,,UMG,Hollywood Records,UMI
4298,USWD11778848,Kevin Kline,How Does A Moment Last Forever (Music Box) - ミュージックボックス・バージョン / 『美女と野獣』より,,Norway,78143.0,0.05052236986980677,735306.0,0.4754028089462669,1546701,71292,0.7451720368,,UMG,Walt Disney Records,Universal
4300,GBQCP1400109,Oasis,Wonderwall - Remastered,,Norway,61480.0,0.039758911480159344,972390.0,0.6288413782399503,1546320,62560,0.7421863384,,,,
4301,USWD10110147,Christina Aguilera,Reflection - Pop Version,,Norway,69108.0,0.044706427276691045,966152.0,0.6250101887803092,1545818,13914,0.7407627545,,UMG,Walt Disney Records,UMI
4302,USWD11778849,Emma Watson,Belle (Reprise),,Norway,35976.0,0.02328344762777549,899292.0,0.5820162937535434,1545132,31456,0.740739032,,UMG,Walt Disney Records,UMI
4303,USWD11778857,Audra McDonald,Beauty and the Beast (Finale),,Norway,82896.0,0.05368689380751057,1127072.0,0.7299386553925226,1544064,57760,0.7361215415,,UMG,Walt Disney Records,UMI
4304,USWD11569823,Helena Bonham Carter,Bibbidi-Bobbidi-Boo (The Magic Song),,Norway,74568.0,0.048299215740124204,1636832.0,1.0602094986903092,1543876,34824,0.7347619258,,UMG,Walt Disney Records,UMI
4306,USWD10110094,Bill Shirley,Once Upon A Dream - From ''Walt Disney's Sleeping Beauty'',,Norway,41487.0,0.02689629687256885,871800.0,0.5651937140189824,1542480,46221,0.7322261339,,UMG,Walt Disney Records,UMI
4307,USWD10732100,Troy,Everyday,,Norway,40986.0,0.02657252888318357,886896.0,0.5750029174932898,1542420,50334,0.7313048463,,UMG,Walt Disney Records,umgglobal
4308,USWD11054901,Mandy Moore,"Healing Incantation - From ""Tangled""/Soundtrack Version",,Norway,0.0,0.0,1177330.0,0.7634564442758437,1542105,48090,0.7311218107,,UMG,Walt Disney Records,Universal
4309,USWD10321765,Dick Van Dyke,Chim Chim Cher-ee,,Norway,77775.0,0.05044101433296582,656999.0,0.4260970231532525,1541900,100385,0.7291532542,,UMG,Walt Disney Records,UMI
4310,USWD10220406,Julie Andrews,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",,Norway,0.0,0.0,1126914.0,0.7320751334011545,1539342,45206,0.7287678277,,UMG,Walt Disney Records,umgglobal
4312,USWD10220401,Jesse Corti,Gaston,,Norway,71370.0,0.04638946087607638,1504980.0,0.9782150879820292,1538496,164880,0.7257343814,,UMG,Walt Disney Records,Universal
4313,USWD10321346,Jeremy Irons,"Be Prepared - From ""The Lion King"" / Soundtrack Version",,Norway,41090.0,0.02671234657790722,768910.0,0.4998634803411691,1538240,40050,0.7253396125,,UMG,Walt Disney Records,Universal
4314,USWD10628831,Sheryl Crow,Real Gone,,Norway,44940.0,0.029239157308488074,943920.0,0.6141394162578563,1536980,168800,0.7246679334,18.0,UMG,Walt Disney Records,Universal
