,scores,isrc,artist,title,seed_playlist_uri
96,0.8259504433275666,USRE19600337,Rusted Root,Send Me On My Way,Spain
97,0.8255035497008435,USWD10527738,Troy,"What I've Been Looking For (Reprise) - From ""High School Musical""/Soundtrack Version",Spain
98,0.8253432653858209,USWD10321113,Robby Benson,Something There,Spain
99,0.8241232273748812,USQ4E1602401,Scarlett Johansson,"Set It All Free - From ""Sing"" Original Motion Picture Soundtrack",Spain
100,0.8235346431767696,USWD10423140,Phil Collins,Two Worlds,Spain
101,0.8231359258473405,USWD10423475,Lillias White,The Gospel Truth I / Main Titles - Hercules,Spain
102,0.820129886618424,USWD10834894,High School Musical Cast,Scream,Spain
103,0.8182929561332398,USWD11038143,Demi Lovato,Wouldn't Change a Thing,Spain
104,0.8177788745114802,USWD11054838,Donna Murphy,"Mother Knows Best - From ""Tangled""/Soundtrack Version",Spain
105,0.8168344164826228,USWD10322240,Lea Salonga,Honor To Us All,Spain
106,0.8158689170381023,USWD11778850,Josh Gad,Gaston,Spain
107,0.8152910422668768,USQ4E1602399,Nick Kroll,"Shake It Off - From ""Sing"" Original Motion Picture Soundtrack",Spain
108,0.8152803616579242,USWD11262963,Julie Fowlis,"Into The Open Air - From ""Brave""/Soundtrack",Spain
109,0.8145547948115253,USLIC0601944,Céline Dion,"Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack ""Beauty and the Beast""",Spain
110,0.8141459780085355,USWD11778855,Dan Stevens,Evermore,Spain
111,0.8134643391751558,USWD11038149,Demi Lovato,"This is Our Song - From ""Camp Rock 2: The Final Jam""",Spain
112,0.8122441490695118,USWD11778852,Emma Watson,Something There,Spain
113,0.8101605119177306,USWD10220442,Judy Kuhn,"Just Around The Riverbend - From ""Pocahantas""",Spain
114,0.8091638053218179,USHR10723196,Jonas Brothers,When You Look Me In The Eyes,Spain
115,0.8091513237747819,USHR10823924,Jonas Brothers,Lovebug,Spain
116,0.8080835340695552,USWD10731999,Zac Efron,"What Time Is It - From ""High School Musical 2""/Soundtrack Version",Spain
117,0.8080489571403517,USWD10527737,High School Musical Cast,What I've Been Looking For,Spain
118,0.8070980400938625,USWD10732974,Amy Adams,That's How You Know - 『魔法にかけられて』より,Spain
