,isrc,score,artist,title,major_label,label_studio,original_release_date,genre_name,parent_genre_name,seed_playlist_uri
180,DEF088200550,0.9940903311941539,Accept,Fast As a Shark,UMC (Universal Music Catalogue),UMG,Heavy Metal,Rock,2016-03-25,spotify:playlist:7ee2i27Axzde26FoXgNDZF
188,USDJ20110974,0.9917984913365768,Slayer,Disciple,American Recordings Catalog P&D,UMG,Unknown,Unknown,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
190,USCA29000003,0.9901794366296036,Megadeth,Holy Wars... The Punishment Due,CAPITOL CATALOG MKT (C92),UMG,Heavy Metal,Rock,1990-09-24,spotify:playlist:7ee2i27Axzde26FoXgNDZF
193,USCA21101251,0.9881959938622873,Megadeth,Peace Sells,Capitol Records,UMG,Heavy Metal,Rock,1986-09-19,spotify:playlist:7ee2i27Axzde26FoXgNDZF
196,DEN120404987,0.9873964819508196,Rammstein,Amerika,Vertigo Berlin,UMG,Rock,Rock,2004-09-27,spotify:playlist:7ee2i27Axzde26FoXgNDZF
200,USIR28600022,0.9860741247203151,Anthrax,Indians,UMC (Universal Music Catalogue),UMG,Heavy Metal,Rock,2016-03-25,spotify:playlist:7ee2i27Axzde26FoXgNDZF
201,USIR19801984,0.9860129758295524,Marilyn Manson,Rock Is Dead,Marketing Labs,UMG,Fitness & Workout,Fitness & Workout,2015-11-20,spotify:playlist:7ee2i27Axzde26FoXgNDZF
206,USEM30200310,0.9847307481531826,Red Hot Chili Peppers,Higher Ground,Capitol,UMG,Alternative,Alternative,1989-08-16,spotify:playlist:7ee2i27Axzde26FoXgNDZF
213,USIR10312260,0.9823119634790035,Primus,John The Fisherman,Interscope,UMG,Alternative,Alternative,2006-10-17,spotify:playlist:7ee2i27Axzde26FoXgNDZF
214,USIR10400620,0.9818413862312849,Marilyn Manson,Personal Jesus,Marilyn Manson / Interscope,UMG,Rock,Rock,2004-09-28,spotify:playlist:7ee2i27Axzde26FoXgNDZF
218,USSM18800166,0.981084464284531,Danzig,She Rides,American Recordings Catalog P&D,UMG,Rock,Rock,1988-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
219,USGF19942505,0.9807629183240338,Nirvana,Lithium,Geffen Records,UMG,Rock,Rock,1991-09-24,spotify:playlist:7ee2i27Axzde26FoXgNDZF
220,GBF089190013,0.980666056553724,Metallica,Enter Sandman,Virgin EMI,UMG,Rock,Rock,1991-08-12,spotify:playlist:7ee2i27Axzde26FoXgNDZF
221,USCA20400653,0.9798972163375175,Megadeth,Tornado of Souls,AG Records (Megadeth) 2017,UMG,Heavy Metal,Rock,2019-03-22,spotify:playlist:7ee2i27Axzde26FoXgNDZF
223,USUR19801031,0.9794812319252949,Godsmack,Keep Away,Republic,UMG,Rock,Rock,1998-08-25,spotify:playlist:7ee2i27Axzde26FoXgNDZF
226,USGF19821202,0.9783500601509889,Rob Zombie,Superbeast,Rob Zombie (PS),UMG,Rock,Rock,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
227,USGF19142001,0.9780679435557178,Guns N' Roses,Civil War,Geffen,UMG,Rock,Rock,1991-09-17,spotify:playlist:7ee2i27Axzde26FoXgNDZF
229,USIR28600018,0.9779102520147294,Anthrax,Caught In a Mosh,Island Records,UMG,Rock,Rock,2001-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
237,USGF19942504,0.9758721148530562,Nirvana,Breed,Geffen Records,UMG,Rock,Rock,1991-09-24,spotify:playlist:7ee2i27Axzde26FoXgNDZF
238,USIR10120378,0.9756766398221132,Marilyn Manson,Tainted Love,Polydor Associated Labels,UMG,Rock,Rock,2003-05-07,spotify:playlist:7ee2i27Axzde26FoXgNDZF
242,TCAAS1032136,0.9748946737806563,Nine Inch Nails,Sin,The Bicycle Music Company,UMG,Rock,Rock,1989-10-20,spotify:playlist:7ee2i27Axzde26FoXgNDZF
243,USIR10300252,0.9747675750683081,Marilyn Manson,This Is the New Shit,Marilyn Manson / Interscope,UMG,Rock,Rock,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
245,GBF089190017,0.9743978711726025,Metallica,Wherever I May Roam,Vertigo,UMG,Rock,Rock,2015-06-22,spotify:playlist:7ee2i27Axzde26FoXgNDZF
250,USSM19400806,0.9722353012206576,Slayer,Dittohead,American Recordings Catalog P&D,UMG,Unknown,Unknown,2003-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
252,QMKHM1600380,0.9718748637732975,Metallica,Moth Into Flame,Vertigo,UMG,Rock,Rock,2016-11-18,spotify:playlist:7ee2i27Axzde26FoXgNDZF
256,QMKHM1600377,0.9710892765230117,Metallica,Hardwired,Vertigo,UMG,Rock,Rock,2016-11-18,spotify:playlist:7ee2i27Axzde26FoXgNDZF
257,USWWW0134840,0.9710454669122496,Mother Love Bone,Chloe Dancer / Crown of Thorns,Stardog/Republic,UMG,Alternative,Alternative,2016-11-04,spotify:playlist:7ee2i27Axzde26FoXgNDZF
260,AUUM70500113,0.9708594167691025,Wolfmother,Woman,Universal Music Australia Pty. Ltd.,UMG,Alternative,Alternative,2017-04-14,spotify:playlist:7ee2i27Axzde26FoXgNDZF
266,USCN38700018,0.9688422601998745,Suicidal Tendencies,War Inside My Head,Astralwerks,UMG,Rock,Rock,2012-03-09,spotify:playlist:7ee2i27Axzde26FoXgNDZF
268,USSM18800158,0.9673306005717804,Slayer,Mandatory Suicide,American Recordings Catalog P&D,UMG,Heavy Metal,Rock,1988-07-05,spotify:playlist:7ee2i27Axzde26FoXgNDZF
269,GBAMC9700001,0.9673021975982345,Metallica,Fuel,Vertigo,UMG,Rock,Rock,1997-11-18,spotify:playlist:7ee2i27Axzde26FoXgNDZF
277,USUM71607186,0.9650025172131493,Temple of the Dog,Hunger Strike,A&M Records,UMG,Rock,Rock,2016-04-16,spotify:playlist:7ee2i27Axzde26FoXgNDZF
281,USGF19972704,0.9639925329668482,Nirvana,The Man Who Sold the World,DGC,UMG,Rock,Rock,1994-11-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
285,USIR10001170,0.961732005256482,Limp Bizkit,Rollin' (Air Raid Vehicle),Limp Bizkit,UMG,Rock,Rock,2005-11-08,spotify:playlist:7ee2i27Axzde26FoXgNDZF
297,USUR19801039,0.9592291972764153,Godsmack,Whatever,Universal Records,UMG,Rock,Rock,1998-01-01,spotify:playlist:7ee2i27Axzde26FoXgNDZF
