,source_uri,isrc,year,month,monthly_streams,date
48,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM38500084,2019,1,160,2019-01-01
49,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16582593,2019,1,417,2019-01-01
50,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16532700,2019,1,133,2019-01-01
51,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPR39402093,2019,1,268,2019-01-01
52,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF080201245,2019,1,292,2019-01-01
53,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF076420160,2019,1,124,2019-01-01
54,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBAKW6701004,2019,1,150,2019-01-01
55,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16400486,2019,1,178,2019-01-01
56,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA21002682,2019,1,180,2019-01-01
57,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM39100180,2019,1,163,2019-01-01
58,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16819955,2019,1,119,2019-01-01
59,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600346,2019,1,345,2019-01-01
60,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600489,2019,1,254,2019-01-01
61,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF076520010,2019,1,370,2019-01-01
62,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBAAN6600008,2019,1,157,2019-01-01
63,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA20000789,2019,1,151,2019-01-01
64,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBAYE0601654,2019,1,265,2019-01-01
65,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16046323,2019,1,206,2019-01-01
66,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA28800102,2019,1,148,2019-01-01
67,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16758823,2019,1,358,2019-01-01
68,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPG16590023,2019,1,104,2019-01-01
69,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPR36309035,2019,1,192,2019-01-01
70,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA20000220,2019,1,274,2019-01-01
71,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM39000237,2019,1,230,2019-01-01
72,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16800531,2019,1,167,2019-01-01
73,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USFI86800061,2019,1,147,2019-01-01
74,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USCA20100360,2019,1,165,2019-01-01
75,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16582593,2018,4,236,2018-04-01
76,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USA176610020,2018,4,239,2018-04-01
77,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16800531,2018,4,208,2018-04-01
78,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600489,2018,4,207,2018-04-01
79,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC18846091,2018,4,1,2018-04-01
80,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600488,2018,4,244,2018-04-01
81,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16600346,2018,4,273,2018-04-01
82,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,US3M50121006,2018,4,160,2018-04-01
83,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16991138,2018,4,182,2018-04-01
84,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM38700071,2018,4,229,2018-04-01
85,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPR36309035,2018,4,247,2018-04-01
86,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMO16700534,2018,4,255,2018-04-01
87,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USLA19000001,2018,4,227,2018-04-01
88,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USC4R0817618,2018,4,304,2018-04-01
89,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16532697,2018,4,242,2018-04-01
90,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,GBF089601041,2018,4,1,2018-04-01
91,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USFI86800061,2018,4,219,2018-04-01
92,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USFI86900185,2018,4,4,2018-04-01
93,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USMC16010095,2018,4,1,2018-04-01
94,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USPG16590023,2018,4,164,2018-04-01
95,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM38500084,2018,4,375,2018-04-01
96,spotify:playlist:4s7p3F08ccbPUKJMExJGKw,USEM38700027,2018,4,1,2018-04-01
