,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
23379,803,Los Angeles,,883501,15.339003752365738
24143,807,San Francisco-Oak-San Jose,,745386,12.941104368824583
162,501,New York,,683728,11.87062194337926
27965,Unknown,,,370687,6.435724785770698
24029,803,Los Angeles,917,174799,3.0347928490287828
24780,807,San Francisco-Oak-San Jose,941,150623,2.615058457424026
264,501,New York,112,149242,2.5910820678307864
25028,819,Seattle-Tacoma,,144293,2.5051594377823108
252,501,New York,100,142969,2.482172660214281
1787,506,Boston (Manchester),,131195,2.2777570113577945
24784,807,San Francisco-Oak-San Jose,945,115009,1.996741919427178
12869,602,Chicago,,112541,1.9538934548970428
265,501,New York,113,109049,1.893266697142087
3020,511,"Washington, DC (Hagrstwn)",,108178,1.8781447309323032
24779,807,San Francisco-Oak-San Jose,940,105051,1.8238549624615852
23484,803,Los Angeles,123,98681,1.7132614782407753
24245,807,San Francisco-Oak-San Jose,123,95199,1.6528083366305932
954,504,Philadelphia,,94740,1.644839355585483
15682,623,Dallas-Ft. Worth,,94661,1.6434677880417712
24013,803,Los Angeles,900,93886,1.6300125368218141
275,501,New York,123,93109,1.6165225623729023
25540,819,Seattle-Tacoma,980,76048,1.3203160577745918
26658,862,Sacramnto-Stkton-Modesto,,71009,1.2328308824231535
28043,Unknown,,100,68624,1.19142343189464
14990,618,Houston,,67724,1.1757979788650124
24790,807,San Francisco-Oak-San Jose,951,67151,1.1658497737694826
5313,524,Atlanta,,66066,1.1470124220615423
1803,506,Boston (Manchester),021,63781,1.1073411329807652
25541,819,Seattle-Tacoma,981,63063,1.094875493786018
13293,602,Chicago,606,54541,0.9469198152099201
24038,803,Los Angeles,926,47967,0.832784561635728
24789,807,San Francisco-Oak-San Jose,950,44107,0.7657687297531022
23461,803,Los Angeles,100,38532,0.6689777290417969
25873,825,San Diego,,33071,0.5741659523809111
15326,618,Houston,770,32473,0.5637837069234473
24040,803,Los Angeles,928,32211,0.5592349639303779
25559,820,"Portland, OR",,31671,0.5498596921126012
16121,623,Dallas-Ft. Worth,750,31300,0.543418533141499
6277,528,Miami-Ft. Lauderdale,,30267,0.5254839853863819
21666,753,Phoenix (Prescott),,29466,0.5115773321900131
24022,803,Los Angeles,910,29131,0.5057611913400961
1420,505,Detroit,,27388,0.47549989730605036
223,501,New York,070,27236,0.472860931905491
14138,613,Minneapolis-St. Paul,,26194,0.4547701296200775
26263,839,Las Vegas,,25938,0.4503255563138723
24223,807,San Francisco-Oak-San Jose,100,25780,0.4475824212264488
226,501,New York,073,25633,0.4450302638982762
20715,744,Honolulu,,25590,0.44428371447574955
24785,807,San Francisco-Oak-San Jose,946,25418,0.4412975167856429
21060,751,Denver,,24833,0.4311409723163849
5523,524,Atlanta,300,23774,0.4127550225848562
3984,514,Buffalo,,23064,0.4004282763059276
24033,803,Los Angeles,921,22753,0.39502881420346736
1893,506,Boston (Manchester),123,22538,0.39129606709083403
15329,618,Houston,774,21888,0.38001101768054735
255,501,New York,103,21137,0.36697244520804684
1806,506,Boston (Manchester),024,20389,0.35398595757897844
1101,504,Philadelphia,191,20243,0.35145116186528325
24786,807,San Francisco-Oak-San Jose,947,19148,0.33244019401256947
24030,803,Los Angeles,918,18999,0.3298533134554422
24015,803,Los Angeles,902,18831,0.326936562223245
179,501,New York,021,18812,0.3266066915481751
24052,803,Los Angeles,941,18517,0.3214850152773526
269,501,New York,117,18464,0.3205648497100524
241,501,New York,088,18112,0.3144535614140202
26099,825,San Diego,921,17931,0.31131110919361726
12957,602,Chicago,123,17708,0.307439469165165
15056,618,Houston,123,17611,0.3057553925608607
3121,511,"Washington, DC (Hagrstwn)",123,17578,0.3051824592831077
3204,511,"Washington, DC (Hagrstwn)",220,17513,0.30405395434207905
1046,504,Philadelphia,123,17460,0.3031337887747787
24023,803,Los Angeles,911,17371,0.3015886050862933
24025,803,Los Angeles,913,17217,0.2989149164567792
25104,819,Seattle-Tacoma,123,16752,0.2908417657248049
28570,Unknown,,900,16656,0.2891750507349779
7446,534,Orlando-Daytona Bch-Melbrn,,16552,0.2873694428293321
3193,511,"Washington, DC (Hagrstwn)",208,16499,0.28644927726203173
2356,508,Pittsburgh,,16391,0.2845742228984764
1631,505,Detroit,481,16022,0.278167787156329
22601,770,Salt Lake City,,15912,0.27625800956381896
7181,533,Hartford & New Haven,,15466,0.2685147295069145
263,501,New York,111,14771,0.2564484074451464
5402,524,Atlanta,123,14742,0.2559449206253029
24019,803,Los Angeles,906,14734,0.2558060277094839
10459,560,Raleigh-Durham (Fayetvlle),,14655,0.25443446016577215
24743,807,San Francisco-Oak-San Jose,900,14651,0.25436501370786274
2657,510,Cleveland-Akron (Canton),,14642,0.2542087591775664
24056,803,Los Angeles,945,14608,0.253618464285336
26931,862,Sacramnto-Stkton-Modesto,956,14267,0.24769815374855486
26478,839,Las Vegas,891,14230,0.2470557740128924
3656,512,Baltimore,,14161,0.24585782261395428
24783,807,San Francisco-Oak-San Jose,944,13778,0.23920832426912378
24782,807,San Francisco-Oak-San Jose,943,13627,0.23658672048304177
16123,623,Dallas-Ft. Worth,752,13580,0.23577072460260567
20957,744,Honolulu,968,13488,0.23417345607068818
15762,623,Dallas-Ft. Worth,123,13420,0.2329928662862274
23395,803,Los Angeles,021,13298,0.23087474931998897
8324,539,Tampa-St. Pete (Sarasota),,13221,0.2295379050052319
26933,862,Sacramnto-Stkton-Modesto,958,12985,0.22544056398857396
14335,613,Minneapolis-St. Paul,554,12825,0.2226627056721957
27981,Unknown,,021,12668,0.21993693219924954
13287,602,Chicago,600,12532,0.217575752630328
5526,524,Atlanta,303,12438,0.21594376086945577
262,501,New York,110,12379,0.2149194256152913
16953,635,Austin,,12293,0.21342632677023798
17149,635,Austin,787,12214,0.2120547592265262
6028,527,Indianapolis,,12135,0.2106831916828144
3187,511,"Washington, DC (Hagrstwn)",201,11960,0.20764490914927566
21948,753,Phoenix (Prescott),852,11747,0.2039468852655971
24037,803,Los Angeles,925,11744,0.203894800422165
4331,517,Charlotte,,11382,0.19760989598135917
4931,521,Providence-New Bedford,,11047,0.19179375513144217
6907,532,Albany-Schenectady-Troy,,10972,0.19049163404563987
266,501,New York,114,10929,0.1897450846231132
2408,508,Pittsburgh,152,10849,0.18835615546492407
13288,602,Chicago,601,10737,0.18641165464345927
24008,803,Los Angeles,891,10588,0.18382477408633202
24039,803,Los Angeles,927,10383,0.18026564311847235
24795,807,San Francisco-Oak-San Jose,956,10167,0.1765155343913617
24062,803,Los Angeles,951,10098,0.17531758299242356
13682,609,St. Louis,,10020,0.17396337706318915
7831,535,"Columbus,OH",,9856,0.17111607228890144
256,501,New York,104,9758,0.16941463407011975
267,501,New York,115,9644,0.16743541001970022
26695,862,Sacramnto-Stkton-Modesto,123,9394,0.16309500640035918
17900,648,Champaign&Sprngfld-Decatur,618,9327,0.16193177823037577
229,501,New York,076,9252,0.16062965714457345
3186,511,"Washington, DC (Hagrstwn)",200,9189,0.1595358754324995
25818,820,"Portland, OR",972,9101,0.15800805335849147
24020,803,Los Angeles,907,8826,0.15323360937721633
14333,613,Minneapolis-St. Paul,551,8794,0.15267803771394067
13292,602,Chicago,605,8642,0.15003907231338132
24082,803,Los Angeles,972,8496,0.14750427659968615
6421,528,Miami-Ft. Lauderdale,330,8388,0.1456292222361308
14515,616,Kansas City,,8345,0.14488267281360415
21409,751,Denver,800,8256,0.14333748912511873
24032,803,Los Angeles,920,8248,0.1431985962092998
18813,669,Madison,,8242,0.14309442652243565
6422,528,Miami-Ft. Lauderdale,331,8164,0.1417402205932012
12527,592,Gainesville,,8147,0.14144507314708601
21411,751,Denver,802,8127,0.14109784085753876
3206,511,"Washington, DC (Hagrstwn)",222,8109,0.1407853317969462
24301,807,San Francisco-Oak-San Jose,198,8096,0.14055963080874045
24758,807,San Francisco-Oak-San Jose,917,7998,0.13885819258995877
26964,866,Fresno-Visalia,,7993,0.13877138451757196
26098,825,San Diego,920,7940,0.13785121895027164
1100,504,Philadelphia,190,7724,0.13410111022316099
24051,803,Los Angeles,940,7720,0.13403166376525152
6340,528,Miami-Ft. Lauderdale,123,7532,0.13076768024350707
1035,504,Philadelphia,112,7466,0.12962181368800102
21946,753,Phoenix (Prescott),850,7343,0.12748633510728521
28065,Unknown,,123,7054,0.12246882852332698
26916,862,Sacramnto-Stkton-Modesto,941,6972,0.12104517613618312
20956,744,Honolulu,967,6886,0.1195520772911298
24106,803,Los Angeles,998,6822,0.11844093396457848
17843,648,Champaign&Sprngfld-Decatur,,6809,0.11821523297637275
16131,623,Dallas-Ft. Worth,760,6806,0.11816314813294065
24797,807,San Francisco-Oak-San Jose,958,6787,0.11783327745787074
18462,659,Nashville,,6785,0.11779855422891601
18270,652,Omaha,681,6740,0.11701728157743463
13875,609,St. Louis,631,6738,0.11698255834847988
3192,511,"Washington, DC (Hagrstwn)",207,6716,0.11660060282997788
17554,641,San Antonio,,6709,0.11647907152863633
1800,506,Boston (Manchester),018,6694,0.11621864731147587
3205,511,"Washington, DC (Hagrstwn)",221,6674,0.11587141502192859
24833,807,San Francisco-Oak-San Jose,998,6664,0.11569779887715495
13289,602,Chicago,602,6527,0.11331925769375606
7936,535,"Columbus,OH",432,6488,0.11264215472913885
24035,803,Los Angeles,923,6377,0.11071501552215142
230,501,New York,077,6357,0.11036778323260414
24817,807,San Francisco-Oak-San Jose,980,6346,0.11017680547335315
10572,560,Raleigh-Durham (Fayetvlle),275,6327,0.10984693479828321
28565,Unknown,,891,6290,0.10920455506262074
24160,807,San Francisco-Oak-San Jose,021,6283,0.1090830237612792
24810,807,San Francisco-Oak-San Jose,972,6279,0.10901357730336973
17973,650,Oklahoma City,,6066,0.10531555341969116
26920,862,Sacramnto-Stkton-Modesto,945,6025,0.10460372722611921
2850,510,Cleveland-Akron (Canton),441,6018,0.10448219592477767
257,501,New York,105,5952,0.10333632936927165
182,501,New York,024,5945,0.1032147980679301
25816,820,"Portland, OR",970,5924,0.10285020416390546
23622,803,Los Angeles,303,5879,0.10206893151242405
232,501,New York,079,5864,0.10180850729526358
17384,640,Memphis,,5802,0.10073208719766702
25542,819,Seattle-Tacoma,982,5800,0.10069736396871229
18897,669,Madison,537,5757,0.09995081454618562
24787,807,San Francisco-Oak-San Jose,948,5708,0.09910009543679478
1802,506,Boston (Manchester),020,5703,0.09901328736440795
4147,515,Cincinnati,,5682,0.09864869346038331
1799,506,Boston (Manchester),017,5680,0.09861397023142858
24018,803,Los Angeles,905,5668,0.09840563085770021
24818,807,San Francisco-Oak-San Jose,981,5653,0.09814520664053974
14176,613,Minneapolis-St. Paul,123,5622,0.09760699659174146
26932,862,Sacramnto-Stkton-Modesto,957,5581,0.09689517039816953
15342,618,Houston,787,5549,0.09633959873489388
17148,635,Austin,786,5493,0.09536734832416148
15328,618,Houston,773,5435,0.09436037468447436
1630,505,Detroit,480,5316,0.09229434256166802
9951,555,Syracuse,,5285,0.09175613251286974
23985,803,Los Angeles,852,5272,0.09153043152466399
13291,602,Chicago,604,5238,0.09094013663243361
13305,602,Chicago,618,5193,0.09015886398095223
1036,504,Philadelphia,113,5135,0.0891518903412651
26557,855,Santabarbra-Sanmar-Sanluob,,5116,0.08882201966619518
3755,512,Baltimore,212,5087,0.08831853284635162
341,501,New York,191,5086,0.08830117123187425
17708,641,San Antonio,782,5072,0.08805810862919117
8200,538,"Rochester, NY",,5007,0.0869296036881625
24738,807,San Francisco-Oak-San Jose,891,4980,0.08646084009727366
10116,556,Richmond-Petersburg,,4965,0.0862004158801132
631,501,New York,606,4959,0.086096246193249
10574,560,Raleigh-Durham (Fayetvlle),277,4935,0.08567956744579226
824,501,New York,941,4924,0.08548858968654126
238,501,New York,085,4889,0.0848809331798335
21410,751,Denver,801,4881,0.0847420402640146
20756,744,Honolulu,123,4862,0.08441216958894468
14813,617,Milwaukee,,4762,0.08267600814120826
15330,618,Houston,775,4761,0.0826586465267309
11845,574,Johnstown-Altoona-St Colge,168,4742,0.08232877585166098
25544,819,Seattle-Tacoma,984,4730,0.0821204364779326
11169,566,Harrisburg-Incstr-Leb-York,174,4712,0.08180792741734005
24021,803,Los Angeles,908,4708,0.08173848095943059
1010,504,Philadelphia,080,4673,0.08113082445272285
679,501,New York,705,4665,0.08099193153690394
23473,803,Los Angeles,112,4660,0.08090512346451711
12314,582,"Lafayette, IN",479,4656,0.08083567700660765
7623,534,Orlando-Daytona Bch-Melbrn,328,4645,0.08064469924735665
24835,810,Yakima-Pasco-Rchlnd-Knnwck,,4607,0.07998495789721681
21708,753,Phoenix (Prescott),123,4600,0.07986342659587527
26156,828,Monterey-Salinas,,4594,0.07975925690901108
28637,Unknown,,972,4593,0.07974189529453371
3194,511,"Washington, DC (Hagrstwn)",209,4587,0.07963772560766952
26926,862,Sacramnto-Stkton-Modesto,951,4581,0.07953355592080534
10756,561,Jacksonville,,4564,0.07923840847469014
823,501,New York,940,4549,0.0789779842575297
1804,506,Boston (Manchester),022,4517,0.07842241259425405
242,501,New York,089,4510,0.07830088129291247
787,501,New York,900,4477,0.07772794801515946
3110,511,"Washington, DC (Hagrstwn)",112,4447,0.07720709958083855
3197,511,"Washington, DC (Hagrstwn)",212,4426,0.07684250567681389
28617,Unknown,,951,4410,0.07656471984517607
8866,542,Dayton,453,4369,0.07585289365160414
24788,807,San Francisco-Oak-San Jose,949,4369,0.07585289365160414
7512,534,Orlando-Daytona Bch-Melbrn,123,4342,0.0753841300607153
4675,518,Greensboro-H.Point-W.Salem,,4292,0.07451604933684709
24808,807,San Francisco-Oak-San Jose,970,4289,0.074463964493415
22821,770,Salt Lake City,840,4277,0.07425562511968663
253,501,New York,101,4266,0.07406464736043562
24024,803,Los Angeles,912,4266,0.07406464736043562
9019,544,Norfolk-Portsmth-Newpt Nws,,4251,0.07380422314327516
227,501,New York,074,4234,0.07350907569715996
21414,751,Denver,805,4230,0.07343962923925051
10921,563,Grand Rapids-Kalmzoo-B.Crk,,4216,0.07319656663656741
16132,623,Dallas-Ft. Worth,761,4213,0.07314448179313532
8474,539,Tampa-St. Pete (Sarasota),336,4122,0.07156457487569519
221,501,New York,068,4102,0.0712173425861479
10573,560,Raleigh-Durham (Fayetvlle),276,4058,0.07045343154914387
3178,511,"Washington, DC (Hagrstwn)",191,4039,0.07012356087407395
24234,807,San Francisco-Oak-San Jose,112,4031,0.06998466795825503
11246,567,Greenvll-Spart-Ashevll-And,,3937,0.0683526761973828
24091,803,Los Angeles,981,3935,0.06831795296842809
3207,511,"Washington, DC (Hagrstwn)",223,3934,0.06830059135395071
9357,546,"Columbia, SC",,3921,0.06807489036574497
24041,803,Los Angeles,930,3914,0.06795335906440343
8917,543,Springfield-Holyoke,,3908,0.06784918937753925
24061,803,Los Angeles,950,3879,0.06734570255769567
8251,538,"Rochester, NY",146,3872,0.06722417125635413
21412,751,Denver,803,3859,0.0669984702681484
21949,753,Phoenix (Prescott),853,3859,0.0669984702681484
1633,505,Detroit,483,3859,0.0669984702681484
24042,803,Los Angeles,931,3832,0.06652970667725956
14334,613,Minneapolis-St. Paul,553,3817,0.0662692824600991
25543,819,Seattle-Tacoma,983,3790,0.06580051886921026
12269,582,"Lafayette, IN",,3771,0.06547064819414035
26625,855,Santabarbra-Sanmar-Sanluob,931,3761,0.06529703204936671
23043,789,Tucson (Sierra Vista),857,3760,0.06527967043488934
3098,511,"Washington, DC (Hagrstwn)",100,3755,0.06519286236250253
304,501,New York,152,3732,0.06479354522952316
25532,819,Seattle-Tacoma,972,3677,0.06383865643326812
28199,Unknown,,303,3670,0.06371712513192657
28607,Unknown,,941,3650,0.06336989284237929
21117,751,Denver,123,3644,0.06326572315551511
1015,504,Philadelphia,085,3638,0.06316155346865092
1465,505,Detroit,123,3600,0.06250181211851108
1023,504,Philadelphia,100,3590,0.062328195973737434
26495,839,Las Vegas,917,3585,0.062241387901350614
4461,517,Charlotte,282,3573,0.06203304852762224
22822,770,Salt Lake City,841,3564,0.06187679399732596
14332,613,Minneapolis-St. Paul,550,3522,0.061147606189276664
1798,506,Boston (Manchester),016,3499,0.06074828905629729
26296,839,Las Vegas,123,3493,0.060644119369433105
8919,543,Springfield-Holyoke,010,3478,0.06038369515227265
18583,659,Nashville,372,3463,0.06012327093511218
9656,548,West Palm Beach-Ft. Pierce,,3454,0.0599670164048159
11133,566,Harrisburg-Incstr-Leb-York,,3424,0.05944616797049498
25911,825,San Diego,123,3423,0.05942880635601761
24026,803,Los Angeles,914,3400,0.05902948922303823
11816,574,Johnstown-Altoona-St Colge,,3387,0.05880378823483251
3753,512,Baltimore,210,3382,0.058716980162445684
16563,630,Birmingham (Ann And Tusc),,3379,0.058664895319013595
12640,592,Gainesville,326,3353,0.058213493342602125
16370,625,Waco-Temple-Bryan,,3325,0.057727368137235925
4726,518,Greensboro-H.Point-W.Salem,273,3303,0.05734541261873392
28572,Unknown,,902,3282,0.05698081871470926
23340,801,Eugene,974,3271,0.056789840955458255
24767,807,San Francisco-Oak-San Jose,926,3267,0.0567203944975488
24762,807,San Francisco-Oak-San Jose,921,3257,0.05654677835277516
10027,555,Syracuse,148,3243,0.056303715750092055
28586,Unknown,,917,3177,0.055157849194586016
4951,521,Providence-New Bedford,029,3164,0.05493214820638029
23911,803,Los Angeles,757,3160,0.054862701748470834
2711,510,Cleveland-Akron (Canton),123,3157,0.054810616905038745
7229,533,Hartford & New Haven,065,3136,0.05444602300101409
23474,803,Los Angeles,113,3134,0.054411299772059364
6424,528,Miami-Ft. Lauderdale,333,3101,0.053838366494306344
24031,803,Los Angeles,919,3086,0.05357794227714588
25831,820,"Portland, OR",986,3083,0.05352585743371379
24272,807,San Francisco-Oak-San Jose,152,3056,0.053057093842824955
26095,825,San Diego,917,3046,0.052883477698051316
7228,533,Hartford & New Haven,064,3046,0.052883477698051316
4032,514,Buffalo,142,3037,0.052727223167755036
25819,820,"Portland, OR",973,3036,0.05270986155327767
17266,637,Cedar rapids-wtrlo-iwc&dub,,3034,0.05267513832432295
24174,807,San Francisco-Oak-San Jose,038,3029,0.05258833025193612
803,501,New York,917,3013,0.0523105444202983
14696,616,Kansas City,662,3006,0.05218901311895675
13238,602,Chicago,537,2993,0.05196331213075102
5524,524,Atlanta,301,2990,0.051911227287318916
15521,622,New Orleans,,2989,0.05189386567284156
3710,512,Baltimore,123,2984,0.05180705760045474
11649,573,Roanoke-Lynchburg,,2982,0.0517723343715
8698,541,Lexington,,2981,0.05175497275702265
24058,803,Los Angeles,947,2974,0.051633441455681085
12444,588,South Bend-Elkhart,,2963,0.05144246369643008
28055,Unknown,,112,2954,0.051286209166133814
24078,803,Los Angeles,968,2948,0.05118203947926962
23077,790,Albuquerque-Santa Fe,,2946,0.0511473162503149
14903,617,Milwaukee,532,2942,0.051077869792405445
25085,819,Seattle-Tacoma,100,2930,0.05086953041867707
26928,862,Sacramnto-Stkton-Modesto,953,2919,0.050678552659426064
270,501,New York,118,2904,0.050418128442265606
24067,803,Los Angeles,956,2869,0.049810471935557855
16133,623,Dallas-Ft. Worth,762,2861,0.04967157901973894
7934,535,"Columbus,OH",430,2857,0.049602132561829486
873,501,New York,998,2845,0.04939379318810111
12935,602,Chicago,100,2839,0.04928962350123693
23542,803,Los Angeles,198,2832,0.04916809219989538
3195,511,"Washington, DC (Hagrstwn)",210,2825,0.049046560898553825
12003,576,Salisbury,,2819,0.04894239121168965
24090,803,Los Angeles,980,2810,0.048786136681393366
26762,862,Sacramnto-Stkton-Modesto,457,2807,0.04873405183796127
8380,539,Tampa-St. Pete (Sarasota),123,2795,0.0485257124642329
24793,807,San Francisco-Oak-San Jose,954,2795,0.0485257124642329
13317,602,Chicago,631,2787,0.04838681954841399
25596,820,"Portland, OR",123,2775,0.04817848017468562
277,501,New York,125,2750,0.04774443981275152
6288,528,Miami-Ft. Lauderdale,021,2747,0.04769235496931942
23989,803,Los Angeles,857,2734,0.04746665398111369
1102,504,Philadelphia,193,2734,0.04746665398111369
12360,584,Charlottesville,,2724,0.04729303783634005
24077,803,Los Angeles,967,2723,0.047275676221862684
5525,524,Atlanta,302,2714,0.0471194216915664
6618,529,Louisville,,2709,0.047032613619179583
24017,803,Los Angeles,904,2705,0.04696316716127012
7639,534,Orlando-Daytona Bch-Melbrn,347,2705,0.04696316716127012
7622,534,Orlando-Daytona Bch-Melbrn,327,2705,0.04696316716127012
8479,539,Tampa-St. Pete (Sarasota),342,2697,0.046824274245451214
24792,807,San Francisco-Oak-San Jose,953,2693,0.04675482778754176
22963,789,Tucson (Sierra Vista),,2686,0.0466332964862002
13190,602,Chicago,479,2684,0.04659857325724548
7226,533,Hartford & New Haven,062,2667,0.04630342581113028
259,501,New York,107,2655,0.04609508643740192
26915,862,Sacramnto-Stkton-Modesto,940,2612,0.045348537014875255
24573,807,San Francisco-Oak-San Jose,606,2603,0.04519228248457898
26972,866,Fresno-Visalia,123,2556,0.04437628660414286
9826,551,Lansing,,2555,0.0443589249896655
807,501,New York,921,2553,0.04432420176071077
180,501,New York,022,2552,0.04430684014623341
2880,510,Cleveland-Akron (Canton),481,2525,0.04383807655534457
25545,819,Seattle-Tacoma,985,2521,0.04376863009743512
1103,504,Philadelphia,194,2519,0.04373390686848039
9701,548,West Palm Beach-Ft. Pierce,334,2515,0.043664460410570934
298,501,New York,146,2491,0.04324778166311419
25530,819,Seattle-Tacoma,970,2478,0.04302208067490846
23409,803,Los Angeles,038,2468,0.042848464530134814
28635,Unknown,,970,2460,0.0427095716143159
5194,523,Burlington-Plattsburgh,,2457,0.04265748677088381
19397,679,Des Moines-Ames,500,2454,0.04260540192745172
23828,803,Los Angeles,606,2453,0.04258804031297435
18149,652,Omaha,,2451,0.042553317084019625
261,501,New York,109,2447,0.042483870626110164
24057,803,Los Angeles,946,2444,0.042431785782678075
222,501,New York,069,2442,0.042397062553723344
28611,Unknown,,945,2434,0.042258169637904436
11721,573,Roanoke-Lynchburg,240,2434,0.042258169637904436
300,501,New York,148,2428,0.042153999951040244
24796,807,San Francisco-Oak-San Jose,957,2427,0.042136638336562886
23649,803,Los Angeles,333,2425,0.042101915107608155
1090,504,Philadelphia,180,2418,0.041980383806266605
15740,623,Dallas-Ft. Worth,100,2397,0.041615789902241955
19296,678,Wichita-Hutchinson Plus,,2394,0.041563705058809866
24712,807,San Francisco-Oak-San Jose,840,2387,0.041442173757468316
24371,807,San Francisco-Oak-San Jose,303,2386,0.04142481214299095
5528,524,Atlanta,305,2375,0.041233834383739947
28645,Unknown,,981,2372,0.04118174954030785
19369,679,Des Moines-Ames,,2357,0.04092132532314739
24662,807,San Francisco-Oak-San Jose,773,2353,0.04085187886523793
1106,504,Philadelphia,197,2347,0.040747709178373746
12473,588,South Bend-Elkhart,465,2321,0.04029630720196228
6976,532,Albany-Schenectady-Troy,112,2315,0.04019213751509809
6151,527,Indianapolis,474,2308,0.04007060621375655
3111,511,"Washington, DC (Hagrstwn)",113,2308,0.04007060621375655
24908,811,Reno,,2306,0.04003588298480182
12390,584,Charlottesville,229,2303,0.03998379814136972
2841,510,Cleveland-Akron (Canton),432,2288,0.03972337392420926
2257,507,Savannah,,2284,0.0396539274662998
26925,862,Sacramnto-Stkton-Modesto,950,2271,0.03942822647809407
3183,511,"Washington, DC (Hagrstwn)",197,2268,0.03937614163466198
6985,532,Albany-Schenectady-Troy,123,2260,0.039237248718843064
10504,560,Raleigh-Durham (Fayetvlle),123,2240,0.03889001642929578
23976,803,Los Angeles,840,2234,0.038785846742431594
828,501,New York,945,2232,0.038751123513476864
24497,807,San Francisco-Oak-San Jose,481,2229,0.038699038670044775
19058,671,Tulsa,,2227,0.038664315441090044
23827,803,Los Angeles,605,2221,0.03856014575422586
22146,757,Boise,,2204,0.03826499830811067
10012,555,Syracuse,132,2203,0.038247636693633305
23182,790,Albuquerque-Santa Fe,871,2197,0.03814346700676912
1870,506,Boston (Manchester),100,2195,0.03810874377781439
7267,533,Hartford & New Haven,123,2176,0.03777887310274447
13721,609,St. Louis,123,2174,0.03774414987378975
15341,618,Houston,786,2172,0.037709426644835016
17257,636,Harlingen-Wslco-Brnsvl-Mca,785,2171,0.03769206503035765
1805,506,Boston (Manchester),023,2159,0.03748372565662928
8475,539,Tampa-St. Pete (Sarasota),337,2158,0.037466364042151916
16122,623,Dallas-Ft. Worth,751,2154,0.03739691758424246
5498,524,Atlanta,275,2154,0.03739691758424246
27090,881,Spokane,,2145,0.03724066305394618
1811,506,Boston (Manchester),029,2133,0.03703232368021781
23273,801,Eugene,,2130,0.03698023883678572
231,501,New York,078,2129,0.03696287722230836
10982,563,Grand Rapids-Kalmzoo-B.Crk,494,2121,0.03682398430648944
26097,825,San Diego,919,2110,0.03663300654723844
23983,803,Los Angeles,850,2109,0.03661564493276107
28606,Unknown,,940,2101,0.03647675201694216
834,501,New York,951,2095,0.03637258233007797
16157,623,Dallas-Ft. Worth,787,2091,0.03630313587216852
6425,528,Miami-Ft. Lauderdale,334,2091,0.03630313587216852
22465,765,El paso (Las Cruces),112,2077,0.03606007326948542
2849,510,Cleveland-Akron (Canton),440,2073,0.03599062681157596
21987,753,Phoenix (Prescott),917,2050,0.03559130967859658
24046,803,Los Angeles,935,2049,0.03557394806411922
218,501,New York,065,2048,0.03555658644964186
3639,511,"Washington, DC (Hagrstwn)",973,2048,0.03555658644964186
12156,577,Wilkes Barre-Scranton-Hztn,,2046,0.03552186322068713
284,501,New York,132,2045,0.035504501606209764
14540,616,Kansas City,123,2041,0.0354350551483003
13283,602,Chicago,596,2039,0.03540033191934558
7227,533,Hartford & New Haven,063,2035,0.03533088546143612
23923,803,Los Angeles,770,2033,0.035296162232481394
4459,517,Charlotte,280,2015,0.03498365317188884
833,501,New York,950,2007,0.034844760256069925
38,500,Portland-Auburn,,2002,0.034757952183683105
3201,511,"Washington, DC (Hagrstwn)",217,2001,0.03474059056920574
24045,803,Los Angeles,934,1983,0.03442808150861318
24582,807,San Francisco-Oak-San Jose,618,1981,0.034393358279658455
13571,604,Columbia-Jefferson City,,1976,0.034306550207271636
1812,506,Boston (Manchester),030,1969,0.034185018905930085
8473,539,Tampa-St. Pete (Sarasota),335,1965,0.03411557244802063
25504,819,Seattle-Tacoma,941,1957,0.033976679532201716
10177,556,Richmond-Petersburg,232,1954,0.03392459468876963
24771,807,San Francisco-Oak-San Jose,931,1948,0.033820425001905435
4475,517,Charlotte,297,1930,0.03350791594131288
17306,637,Cedar rapids-wtrlo-iwc&dub,522,1926,0.03343846948340343
559,501,New York,481,1924,0.033403746254448696
26927,862,Sacramnto-Stkton-Modesto,952,1922,0.033369023025493966
4385,517,Charlotte,123,1919,0.03331693818206188
25817,820,"Portland, OR",971,1913,0.03321276849519769
24027,803,Los Angeles,915,1907,0.03310859880833351
13514,602,Chicago,958,1905,0.03307387557937878
10983,563,Grand Rapids-Kalmzoo-B.Crk,495,1901,0.033004429121469316
27028,866,Fresno-Visalia,937,1894,0.03288289782012777
789,501,New York,902,1893,0.03286553620565041
294,501,New York,142,1881,0.03265719683192204
23541,803,Los Angeles,197,1880,0.03263983521744467
4228,515,Cincinnati,450,1863,0.03234468777132948
24300,807,San Francisco-Oak-San Jose,197,1845,0.03203217871073693
20376,722,Lincoln & Hastings-Krny,,1844,0.032014817096259564
175,501,New York,017,1843,0.0319974554817822
6137,527,Indianapolis,460,1837,0.031893285794918014
1638,505,Detroit,488,1834,0.03184120095148592
839,501,New York,956,1833,0.03182383933700856
15333,618,Houston,778,1830,0.031771754493576464
1801,506,Boston (Manchester),019,1829,0.0317543928790991
5380,524,Atlanta,100,1823,0.031650223192234914
4950,521,Providence-New Bedford,028,1817,0.03154605350537073
4230,515,Cincinnati,452,1801,0.031268267673732905
11491,570,Myrtle Beach-Florence,,1798,0.03121618283030081
14694,616,Kansas City,660,1798,0.03121618283030081
