,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
8020,535,"Columbus,OH",785,1,1.736161447736419e-05
27437,ES-VC,,,1,1.736161447736419e-05
25889,825,San Diego,040,1,1.736161447736419e-05
8022,535,"Columbus,OH",795,1,1.736161447736419e-05
8025,535,"Columbus,OH",809,1,1.736161447736419e-05
25886,825,San Diego,030,1,1.736161447736419e-05
8026,535,"Columbus,OH",812,1,1.736161447736419e-05
25884,825,San Diego,028,1,1.736161447736419e-05
8027,535,"Columbus,OH",828,1,1.736161447736419e-05
8028,535,"Columbus,OH",836,1,1.736161447736419e-05
8029,535,"Columbus,OH",840,1,1.736161447736419e-05
27440,ES-VC,,322,1,1.736161447736419e-05
8030,535,"Columbus,OH",843,1,1.736161447736419e-05
6262,527,Indianapolis,944,1,1.736161447736419e-05
6259,527,Indianapolis,939,1,1.736161447736419e-05
27446,FI-ES,,021,1,1.736161447736419e-05
27447,FI-ES,,034,1,1.736161447736419e-05
27449,FI-ES,,112,1,1.736161447736419e-05
27450,FI-ES,,405,1,1.736161447736419e-05
8032,535,"Columbus,OH",852,1,1.736161447736419e-05
27452,FI-LS,,941,1,1.736161447736419e-05
8036,535,"Columbus,OH",902,1,1.736161447736419e-05
8019,535,"Columbus,OH",782,1,1.736161447736419e-05
27433,ES-MD,,908,1,1.736161447736419e-05
7993,535,"Columbus,OH",532,1,1.736161447736419e-05
6268,527,Indianapolis,954,1,1.736161447736419e-05
7998,535,"Columbus,OH",563,1,1.736161447736419e-05
25916,825,San Diego,139,1,1.736161447736419e-05
8009,535,"Columbus,OH",689,1,1.736161447736419e-05
935,503,Macon,304,1,1.736161447736419e-05
6276,527,Indianapolis,996,1,1.736161447736419e-05
8011,535,"Columbus,OH",730,1,1.736161447736419e-05
25910,825,San Diego,117,1,1.736161447736419e-05
27426,ES-MD,,080,1,1.736161447736419e-05
6275,527,Indianapolis,986,1,1.736161447736419e-05
25909,825,San Diego,115,1,1.736161447736419e-05
938,503,Macon,308,1,1.736161447736419e-05
8012,535,"Columbus,OH",750,1,1.736161447736419e-05
25906,825,San Diego,109,1,1.736161447736419e-05
4337,517,Charlotte,019,1,1.736161447736419e-05
941,503,Macon,313,1,1.736161447736419e-05
25903,825,San Diego,097,1,1.736161447736419e-05
25902,825,San Diego,096,1,1.736161447736419e-05
8015,535,"Columbus,OH",755,1,1.736161447736419e-05
25900,825,San Diego,085,1,1.736161447736419e-05
8017,535,"Columbus,OH",770,1,1.736161447736419e-05
25897,825,San Diego,074,1,1.736161447736419e-05
8018,535,"Columbus,OH",773,1,1.736161447736419e-05
27431,ES-MD,,801,1,1.736161447736419e-05
6255,527,Indianapolis,925,1,1.736161447736419e-05
8038,535,"Columbus,OH",907,1,1.736161447736419e-05
8039,535,"Columbus,OH",913,1,1.736161447736419e-05
8044,535,"Columbus,OH",926,1,1.736161447736419e-05
6227,527,Indianapolis,767,1,1.736161447736419e-05
25844,821,"Bend, OR",091,1,1.736161447736419e-05
6226,527,Indianapolis,763,1,1.736161447736419e-05
6220,527,Indianapolis,720,1,1.736161447736419e-05
25843,821,"Bend, OR",019,1,1.736161447736419e-05
944,503,Macon,368,1,1.736161447736419e-05
